group,Ble,Fonio,Mais,Mils,Riz,Sorgho
Benin,0,1394,1454284,24717,278718,138391
Burkina Faso,0,10068,1533431,828234,325566,1365898
Cabo Verde,0,0,4976,0,0,0
Cote d'Ivoire,0,20400,1025000,61600,2120000,63400
Gambie,0,0,38644,99650,51081,28832
Ghana,0,0,2011179,163484,722080,230000
Guinee,0,488309,817286,202422,2197907,29400
Guinee-Bissau,0,742,7270,15229,185550,18479
Liberia,0,0,0,0,247495,0
Mali,40137,54219,2811385,1806559,2780905,1393826
Mauritanie,7276,0,14000,3318,247452,80351
Niger,6003,6207,38345,3790028,112632,1945136
Nigeria,66151,83198,10420000,1500000,6607703,6939000
Senegal,0,2601,265699,569154,710794,143253
Sierra Leone,0,0,22418,43637,897087,30380
Togo,0,0,854689,26044,140519,276167
